manf_year,vehicle_name,selling_price,km_driven,fuel_type,seller_type,transmission,owner_type
2012,Hyundai Verna 1.6 SX,600000,100000,Diesel,Individual,Manual,First Owner
2017,Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual,First Owner
2014,Honda Amaze VX i-DTEC,450000,141000,Diesel,Individual,Manual,Second Owner
2016,Hyundai Xcent 1.2 Kappa S,550000,25000,Petrol,Individual,Manual,First Owner
2014,Tata Indigo Grand Petrol,240000,60000,Petrol,Individual,Manual,Second Owner
2015,Hyundai Creta 1.6 VTVT S,850000,25000,Petrol,Individual,Manual,First Owner
2015,Chevrolet Sail 1.2 Base,260000,35000,Petrol,Individual,Manual,First Owner
2014,Tata Indigo Grand Petrol,250000,100000,Petrol,Individual,Manual,First Owner
2018,Toyota Corolla Altis 1.8 VL CVT,1650000,25000,Petrol,Dealer,Automatic,First Owner
2012,Hyundai Verna 1.6 SX,600000,100000,Diesel,Individual,Manual,First Owner
2017,Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual,First Owner
2014,Honda Amaze VX i-DTEC,450000,141000,Diesel,Individual,Manual,Second Owner
2016,Hyundai Xcent 1.2 Kappa S,550000,25000,Petrol,Individual,Manual,First Owner
2014,Tata Indigo Grand Petrol,240000,60000,Petrol,Individual,Manual,Second Owner
2015,Hyundai Creta 1.6 VTVT S,850000,25000,Petrol,Individual,Manual,First Owner
2015,Chevrolet Sail 1.2 Base,260000,35000,Petrol,Individual,Manual,First Owner
2014,Tata Indigo Grand Petrol,250000,100000,Petrol,Individual,Manual,First Owner
2018,Toyota Corolla Altis 1.8 VL CVT,1650000,25000,Petrol,Dealer,Automatic,First Owner
2019,Hyundai Venue SX Opt Diesel,1195000,5000,Diesel,Dealer,Manual,First Owner
2013,Chevrolet Enjoy TCDi LTZ 7 Seater,390000,33000,Diesel,Individual,Manual,Second Owner
2014,Jaguar XF 2.2 Litre Luxury,1964999,28000,Diesel,Dealer,Automatic,First Owner
2013,Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Dealer,Automatic,First Owner
2011,Audi Q5 2.0 TDI,1190000,175900,Diesel,Dealer,Automatic,First Owner
2018,Honda City V MT,930000,14500,Petrol,Dealer,Manual,First Owner
2018,Tata Tigor 1.2 Revotron XT,525000,15000,Petrol,Individual,Manual,First Owner
2013,Audi A6 2.0 TDI  Design Edition,1735000,50000,Diesel,Dealer,Automatic,First Owner
2012,Mercedes-Benz New C-Class C 220 CDI Avantgarde,1375000,33800,Diesel,Dealer,Automatic,Second Owner
2011,Skoda Superb Ambition 2.0 TDI CR AT,450000,130400,Diesel,Dealer,Automatic,Second Owner
2016,Toyota Corolla Altis G AT,900000,50000,Petrol,Individual,Automatic,First Owner
2015,Toyota Innova 2.5 G (Diesel) 7 Seater,1300000,80000,Diesel,Individual,Manual,First Owner
2019,Jeep Compass 1.4 Sport Plus BSIV,1400000,10000,Petrol,Individual,Manual,First Owner
2010,Mercedes-Benz E-Class E 200 CGI Elegance,850000,119000,Petrol,Dealer,Automatic,First Owner
2014,Hyundai i10 Magna 1.1L,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
2013,BMW 3 Series 320d Sport Line,1550000,75800,Diesel,Dealer,Automatic,Second Owner
2009,Audi Q7 35 TDI Quattro Premium,1250000,78000,Diesel,Dealer,Automatic,Third Owner
2012,Hyundai Elantra CRDi S,625000,40000,Diesel,Individual,Manual,First Owner
2014,Mahindra Scorpio 1.99 S10,1050000,50000,Diesel,Individual,Manual,First Owner
2014,Honda City i DTEC V,560000,74000,Diesel,Individual,Manual,Second Owner
2009,Mahindra Scorpio LX,411000,120000,Diesel,Individual,Manual,Second Owner
2009,Hyundai Santro Xing GLS,150000,79000,Petrol,Individual,Manual,Third Owner
2019,Hyundai Grand i10 1.2 Kappa Asta,500000,15000,Petrol,Individual,Manual,First Owner
2018,Hyundai i20 Sportz 1.4 CRDi,750000,29000,Diesel,Dealer,Manual,First Owner
2014,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,465000,70000,Diesel,Dealer,Manual,First Owner
1996,Mahindra Jeep CL 500 MDI,250000,35000,Diesel,Individual,Manual,Second Owner
2014,Honda City i DTEC VX,675000,90000,Diesel,Dealer,Manual,First Owner
2005,Tata Indica DLS,70000,80000,Diesel,Individual,Manual,First Owner
2014,Hyundai EON Magna Plus,240000,73300,Petrol,Dealer,Manual,Second Owner
2014,Toyota Etios GD,525000,92000,Diesel,Dealer,Manual,First Owner
2010,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,280000,350000,Diesel,Individual,Manual,Second Owner
2011,Toyota Corolla Altis Diesel D4DG,350000,230000,Diesel,Individual,Manual,First Owner
2017,Mahindra Scorpio 1.99 S6 Plus,570000,60000,Diesel,Individual,Manual,First Owner
2018,Hyundai EON Magna Plus,300000,31000,Petrol,Individual,Manual,First Owner
2007,Tata Indigo Classic Dicor,100000,39000,Diesel,Individual,Manual,First Owner
2009,Toyota Innova 2.5 V Diesel 8-seater,500000,120000,Diesel,Individual,Manual,Third Owner
2014,Tata Indica Vista Quadrajet LS,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
2017,Ford EcoSport 1.5 Diesel Titanium BSIV,925000,35000,Diesel,Individual,Manual,First Owner
2007,Honda Civic 1.8 V AT,200000,54000,Petrol,Individual,Automatic,Second Owner
2010,Hyundai i10 Sportz 1.2,248000,63000,Petrol,Individual,Manual,Second Owner
2014,Skoda Rapid 1.5 TDI Elegance,450000,120000,Diesel,Individual,Manual,Second Owner
2005,Hyundai Getz GLS,80000,120000,Petrol,Individual,Manual,Third Owner
2014,Nissan Terrano XL,650000,76000,Petrol,Individual,Manual,Second Owner
2015,Hyundai Grand i10 CRDi Sportz,450000,80000,Diesel,Individual,Manual,First Owner
