epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.56E+12,2019-06-26T11:48:09.005,1772.983,-0.048,-0.101,-0.002
1.56E+12,2019-06-26T11:48:09.015,1772.993,0,-0.051,-0.077
1.56E+12,2019-06-26T11:48:09.025,1773.003,0.037,0.05,0.075
1.56E+12,2019-06-26T11:48:09.034,1773.012,-0.053,-0.053,-0.084
1.56E+12,2019-06-26T11:48:09.044,1773.022,-0.035,-0.05,-0.109
1.56E+12,2019-06-26T11:48:09.053,1773.031,0.035,-0.006,-0.08
1.56E+12,2019-06-26T11:48:09.063,1773.041,-0.007,0.033,0.079
1.56E+12,2019-06-26T11:48:09.074,1773.052,-0.038,-0.091,-0.176
1.56E+12,2019-06-26T11:48:09.084,1773.062,0.003,-0.083,-0.024
1.56E+12,2019-06-26T11:48:09.093,1773.071,0.017,0.041,-0.082
1.56E+12,2019-06-26T11:48:09.104,1773.082,-0.032,0.105,0.028
1.56E+12,2019-06-26T11:48:09.113,1773.091,-0.014,-0.088,-0.197
1.56E+12,2019-06-26T11:48:09.124,1773.102,-0.014,0.047,0.087
1.56E+12,2019-06-26T11:48:09.132,1773.11,0.007,0.011,0.232
1.56E+12,2019-06-26T11:48:09.143,1773.121,0.001,-0.016,0.278
1.56E+12,2019-06-26T11:48:09.153,1773.131,-0.047,-0.016,-0.017
1.56E+12,2019-06-26T11:48:09.163,1773.141,0.048,0.183,0.331
1.56E+12,2019-06-26T11:48:09.172,1773.15,-0.025,-0.01,0.102
1.56E+12,2019-06-26T11:48:09.182,1773.16,-0.047,-0.045,0.078
1.56E+12,2019-06-26T11:48:09.192,1773.17,0.018,-0.05,0.221
1.56E+12,2019-06-26T11:48:09.203,1773.181,0.011,0.098,0.325
1.56E+12,2019-06-26T11:48:09.211,1773.189,-0.064,-0.249,0.279
1.56E+12,2019-06-26T11:48:09.222,1773.2,0.037,-0.195,0.63
1.56E+12,2019-06-26T11:48:09.232,1773.21,0.022,-0.053,0.401
1.56E+12,2019-06-26T11:48:09.242,1773.22,-0.008,0.099,0.552
1.56E+12,2019-06-26T11:48:09.251,1773.229,-0.075,-0.013,0.082
1.56E+12,2019-06-26T11:48:09.261,1773.239,0.051,0.026,0.446
1.56E+12,2019-06-26T11:48:09.271,1773.249,0.043,-0.011,0.587
1.56E+12,2019-06-26T11:48:09.282,1773.26,-0.03,-0.089,0.075
1.56E+12,2019-06-26T11:48:09.290,1773.268,-0.053,-0.16,-0.195
1.56E+12,2019-06-26T11:48:09.301,1773.279,0.031,0.129,0.072
1.56E+12,2019-06-26T11:48:09.311,1773.289,0.01,0.128,0.042
