gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,loan_amount,loan_purpose,loan_length,collateral,writeoff
M,27,single,highsch,0,self_employ,5,6,38250,no,0,tenant,6,26811,vehicle,60,no,yes
M,27,divorced,univ,1,self_employ,0,6,63750,no,0,tenant,1,24477,other,54,no,yes
M,21,single,highsch,0,full_time,1,2,31875,no,0,owner_morg,3,21153,other,39,no,yes
M,21,married,basic,0,full_time,0,0,21250,yes,59989,tenant,7,75707,other,28,no,yes
F,37,married,highsch,0,part_time,3,11,28688,yes,57266,owner,9,84945,home_improv,45,no,yes
M,34,single,highsch,0,full_time,7,7,47813,no,0,tenant,13,41962,debt_consol,37,no,yes
F,38,single,basic,0,full_time,0,15,31875,no,0,tenant,9,9505,wedding,11,no,yes
M,24,single,univ,0,self_employ,3,4,63750,no,0,tenant,5,41839,debt_consol,51,no,yes
F,38,widowed,univ,1,self_employ,1,4,95625,no,0,owner,8,59091,home_improv,43,no,no
F,32,single,postgrad,0,full_time,3,10,127500,no,0,owner,15,48357,home_improv,27,yes,no
M,37,single,univ,0,self_employ,7,15,95625,no,0,tenant,4,5267,vehicle,12,no,yes
M,35,single,basic,0,self_employ,2,3,38250,no,0,owner_morg,1,25354,wedding,49,yes,no
M,21,widowed,highsch,0,full_time,2,2,31875,no,0,tenant,5,31851,other,29,no,no
M,20,divorced,highsch,0,full_time,0,2,31875,no,0,owner,6,24302,vehicle,38,no,yes
F,24,single,univ,0,unemployed,0,2,0,no,0,tenant,3,15691,wedding,30,no,yes
M,26,single,univ,0,part_time,2,2,31875,no,0,owner_morg,5,12668,debt_consol,43,no,yes
F,32,divorced,univ,0,full_time,0,10,79688,no,0,owner,7,39061,debt_consol,53,no,no
M,27,single,postgrad,0,full_time,2,3,85000,no,0,owner_morg,2,48472,debt_consol,27,no,yes
F,26,married,highsch,2,full_time,3,6,31875,yes,32567,owner_morg,4,16112,other,27,yes,no
F,31,married,univ,0,full_time,4,4,79688,no,0,owner,5,65035,home_improv,51,yes,no
M,27,single,highsch,0,part_time,4,4,19125,no,0,tenant,2,11772,vehicle,60,no,yes
M,25,married,highsch,2,part_time,0,3,19125,yes,54130,tenant,10,37475,debt_consol,37,no,no
F,24,single,highsch,0,full_time,2,3,31875,no,0,tenant,4,5893,debt_consol,6,no,yes
F,34,single,highsch,0,full_time,4,10,47813,no,0,owner_morg,6,45356,debt_consol,41,yes,no
F,50,single,postgrad,0,full_time,4,20,148750,no,0,tenant,12,42008,other,56,yes,no
M,30,divorced,basic,0,unemployed,0,2,0,no,0,tenant,4,17667,debt_consol,45,no,yes
F,25,divorced,highsch,1,self_employ,1,4,38250,no,0,tenant,2,22454,vehicle,41,no,yes
F,46,married,highsch,0,part_time,10,10,28688,yes,51188,tenant,9,47635,debt_consol,29,no,yes
